economy,year,GDP_per_capita,Life_expectancy,Healthcare_spending_per_capita,Infant_mortality_rate,Education_expenditure_pct_GDP,Population,income_group,region
CYM,2021.0,86438.445257404,79.3,,,1.31253004074097,70108.0,HIC,LCN
CYM,2022.0,92202.1478031576,79.984,,,1.48894000053406,71591.0,HIC,LCN
CYP,2020.0,28649.015625,81.23,2483.06005859,2.6,5.56462001800537,1302247.0,HIC,ECS
CYP,2021.0,33734.03515625,80.573,3118.24267578,2.7,5.08243989944458,1317309.0,HIC,ECS
CYP,2022.0,33894.44921875,80.434,2864.15649414,2.8,4.73588991165161,1331370.0,HIC,ECS
CZE,2020.0,23472.8915454417,78.2268292682927,2106.28027344,2.4,4.62503004074097,10697858.0,HIC,ECS
CZE,2021.0,27696.4619527544,77.2219512195122,2538.03344727,2.3,4.65163993835449,10505772.0,HIC,ECS
CZE,2022.0,28282.2236715857,78.9292682926829,2431.08496094,2.2,4.30291986465454,10672118.0,HIC,ECS
DEU,2020.0,47379.765194548,81.0414634146342,5932.20019531,3.1,5.51600980758667,83160871.0,HIC,ECS
DEU,2021.0,52265.6541620571,80.790243902439,6638.20800781,3.1,5.36734008789062,83196078.0,HIC,ECS
DEU,2022.0,49686.1154582583,80.6080487804878,6182.34375,3.1,5.23916006088257,83797985.0,HIC,ECS
DJI,2020.0,2844.88810647853,64.2,66.92816925,48.8,,1105188.0,LMC,MEA
DJI,2021.0,3025.91126413549,63.83,87.16930389,47.3,,1121248.0,LMC,MEA
DJI,2022.0,3133.25779772463,65.54,81.80969238,45.9,,1137096.0,LMC,MEA
DMA,2020.0,7827.74842680426,71.269,457.01919556,31.4,4.69630002975464,67573.0,UMC,LCN
DMA,2021.0,8376.40414141113,69.832,521.84313965,32.1,5.71689183034862,67202.0,UMC,LCN
DMA,2022.0,9323.66089490562,71.081,574.41748047,32.7,6.04314243406571,66826.0,UMC,LCN
DNK,2020.0,60985.4885601514,81.6024390243903,6530.47509766,3.2,7.38573980331421,5831404.0,HIC,ECS
DNK,2021.0,69727.9873677012,81.4048780487805,7465.77294922,3.2,6.95915985107422,5856733.0,HIC,ECS
